2025-03-25 19:38:24,908 - __main__ - INFO - create database portfolio
2025-03-25 19:41:12,332 - __main__ - INFO - create database portfolio
2025-03-25 19:44:10,424 - __main__ - INFO - database portfolio available => True
2025-03-25 19:44:47,766 - __main__ - INFO - database => portfolio available => True
2025-03-25 19:45:47,168 - __main__ - INFO - create database portfolio
2025-03-25 19:55:29,529 - __main__ - INFO - Start Prg
2025-03-25 19:55:29,529 - __main__ - INFO - Finish Prg
2025-03-25 20:06:47,662 - __main__ - INFO - Start Prg
2025-03-25 20:06:47,662 - __main__ - INFO - Finish Prg
2025-03-25 20:13:41,025 - __main__ - INFO - Start Prg
2025-03-25 20:13:41,025 - __main__ - INFO - Finish Prg
2025-03-25 20:13:41,026 - __main__ - DEBUG - call direct
2025-03-25 20:15:45,735 - __main__ - DEBUG - start init_logger
2025-03-25 20:15:45,735 - __main__ - DEBUG - finished init_logger
2025-03-25 20:15:45,735 - __main__ - INFO - Start Prg
2025-03-25 20:15:45,735 - __main__ - INFO - Finish Prg
2025-03-25 20:15:45,735 - __main__ - DEBUG - call direct
2025-03-25 20:41:34,935 - __main__ - DEBUG - start init_logger
2025-03-25 20:41:34,935 - __main__ - DEBUG - finished init_logger
2025-03-25 20:41:34,935 - __main__ - DEBUG - prg call direct
2025-03-25 20:41:34,935 - __main__ - INFO - Start Prg
2025-03-25 20:41:34,936 - __main__ - INFO - init mysql connection
2025-03-25 20:41:34,978 - __main__ - INFO - Finish Prg
2025-03-25 20:41:34,979 - __main__ - DEBUG - call as module
2025-03-25 20:42:32,635 - __main__ - DEBUG - start init_logger
2025-03-25 20:42:32,635 - __main__ - DEBUG - finished init_logger
2025-03-25 20:42:32,635 - __main__ - DEBUG - prg call direct
2025-03-25 20:42:32,635 - __main__ - INFO - Start Prg
2025-03-25 20:42:32,635 - __main__ - INFO - init mysql connection
2025-03-25 20:42:32,678 - __main__ - INFO - Finish Prg
2025-03-26 09:23:19,849 - __main__ - DEBUG - start init_logger
2025-03-26 09:23:21,833 - __main__ - DEBUG - finished init_logger
2025-03-26 09:23:33,497 - __main__ - DEBUG - program call direct
2025-03-26 09:23:36,097 - __main__ - INFO - Start Program
2025-03-26 09:23:43,944 - __main__ - INFO - init mysql connection
2025-03-26 09:24:45,559 - __main__ - INFO - Finish Prg
2025-03-26 09:25:12,873 - __main__ - DEBUG - start init_logger
2025-03-26 09:25:12,873 - __main__ - DEBUG - finished init_logger
2025-03-26 09:25:12,873 - __main__ - DEBUG - program call direct
2025-03-26 09:25:12,873 - __main__ - INFO - Start Program
2025-03-26 09:25:12,873 - __main__ - INFO - init mysql connection
2025-03-26 09:25:12,914 - __main__ - INFO - Finish Prg
DEBUG | 2025-03-26T09:44:34Z | start init_logger
DEBUG | 2025-03-26T09:44:34Z | finished init_logger
DEBUG | 2025-03-26T09:44:34Z | program call direct
INFO | 2025-03-26T09:44:34Z | Start Program
INFO | 2025-03-26T09:44:34Z | init mysql connection
INFO | 2025-03-26T09:44:34Z | Finish Prg
DEBUG | 2025-03-26T09:47:51Z |__main__ | start init_logger
DEBUG | 2025-03-26T09:47:51Z |__main__ | finished init_logger
DEBUG | 2025-03-26T09:47:51Z |__main__ | program call direct
INFO | 2025-03-26T09:47:51Z |__main__ | Start Program
INFO | 2025-03-26T09:47:51Z |__main__ | init mysql connection
INFO | 2025-03-26T09:47:51Z |__main__ | Finish Prg
DEBUG | 2025-03-26T09:48:57Z |__main__ |db_create_database_portfolio.py:52| start init_logger
DEBUG | 2025-03-26T09:48:57Z |__main__ |db_create_database_portfolio.py:53| finished init_logger
DEBUG | 2025-03-26T09:48:57Z |__main__ |db_create_database_portfolio.py:102| program call direct
INFO | 2025-03-26T09:48:57Z |__main__ |db_create_database_portfolio.py:103| Start Program
INFO | 2025-03-26T09:48:57Z |__main__ |db_create_database_portfolio.py:85| init mysql connection
INFO | 2025-03-26T09:48:57Z |__main__ |db_create_database_portfolio.py:105| Finish Prg
DEBUG | 2025-03-26T11:25:34Z |__main__ |db_create_database_portfolio.py:52| start init_logger
DEBUG | 2025-03-26T11:25:34Z |__main__ |db_create_database_portfolio.py:53| finished init_logger
DEBUG | 2025-03-26T11:25:34Z |__main__ |db_create_database_portfolio.py:102| program call direct
INFO | 2025-03-26T11:25:34Z |__main__ |db_create_database_portfolio.py:103| Start Program
INFO | 2025-03-26T11:25:34Z |__main__ |db_create_database_portfolio.py:85| init mysql connection
INFO | 2025-03-26T11:25:34Z |__main__ |db_create_database_portfolio.py:105| Finish Prg
DEBUG | 2025-03-26T11:26:28Z |__main__ |db_create_database_portfolio.pyinit_logger:52| start init_logger
DEBUG | 2025-03-26T11:26:28Z |__main__ |db_create_database_portfolio.pyinit_logger:53| finished init_logger
DEBUG | 2025-03-26T11:26:28Z |__main__ |db_create_database_portfolio.py<module>:102| program call direct
INFO | 2025-03-26T11:26:28Z |__main__ |db_create_database_portfolio.py<module>:103| Start Program
INFO | 2025-03-26T11:26:28Z |__main__ |db_create_database_portfolio.pyrun:85| init mysql connection
INFO | 2025-03-26T11:26:29Z |__main__ |db_create_database_portfolio.py<module>:105| Finish Prg
DEBUG | 2025-03-26T11:27:32Z |__main__ |db_create_database_portfolio.py|init_logger:52| start init_logger
DEBUG | 2025-03-26T11:27:32Z |__main__ |db_create_database_portfolio.py|init_logger:53| finished init_logger
DEBUG | 2025-03-26T11:27:32Z |__main__ |db_create_database_portfolio.py|<module>:102| program call direct
INFO | 2025-03-26T11:27:32Z |__main__ |db_create_database_portfolio.py|<module>:103| Start Program
INFO | 2025-03-26T11:27:32Z |__main__ |db_create_database_portfolio.py|run:85| init mysql connection
INFO | 2025-03-26T11:27:32Z |__main__ |db_create_database_portfolio.py|<module>:105| Finish Prg
DEBUG | 2025-03-26T11:28:13Z |__main__ |db_create_database_portfolio.py:init_logger:52| start init_logger
DEBUG | 2025-03-26T11:28:13Z |__main__ |db_create_database_portfolio.py:init_logger:53| finished init_logger
DEBUG | 2025-03-26T11:28:13Z |__main__ |db_create_database_portfolio.py:<module>:102| program call direct
INFO | 2025-03-26T11:28:13Z |__main__ |db_create_database_portfolio.py:<module>:103| Start Program
INFO | 2025-03-26T11:28:13Z |__main__ |db_create_database_portfolio.py:run:85| init mysql connection
INFO | 2025-03-26T11:28:13Z |__main__ |db_create_database_portfolio.py:<module>:105| Finish Prg
DEBUG | 2025-03-26T11:28:40Z |__main__ |db_create_database_portfolio.py:init_logger(52)| start init_logger
DEBUG | 2025-03-26T11:28:40Z |__main__ |db_create_database_portfolio.py:init_logger(53)| finished init_logger
DEBUG | 2025-03-26T11:28:40Z |__main__ |db_create_database_portfolio.py:<module>(102)| program call direct
INFO | 2025-03-26T11:28:40Z |__main__ |db_create_database_portfolio.py:<module>(103)| Start Program
